Year,Date,Sturgeon Upstream,Sturgeon Downstream,Total Sturgeon,Water TempC
2011,5/19/2011,25,,25,9
2011,5/25/2011,39,,39,10.7
2011,5/26/2011,,17,17,10.7
2011,5/31/2011,39,37,76,12.1
2011,6/3/2011,1,6,7,13
2011,6/6/2011,21,43,64,13.7
2011,6/8/2011,52,79,131,14.3
2011,6/10/2011,68,183,251,14.6
2011,6/13/2011,4,137,141,15.2
2011,6/15/2011,17,23,40,14.8
2011,6/17/2011,6,45,51,15.5
2011,6/20/2011,1,30,31,15.5
2011,6/22/2011,1,6,7,15.8
2012,5/17/2012,20,0,20,11.1
2012,5/21/2012,26,38,64,12.6
2012,5/23/2012,9,19,28,13.1
2012,5/25/2012,9,30,39,14.3
2012,5/29/2012,18,83,101,15.8
2012,5/30/2012,61,123,184,16.3
2012,6/1/2012,80,44,124,16.3
2012,6/5/2012,5,27,32,16
2012,6/6/2012,4,11,15,16
2012,6/8/2012,0,4,4,16.3
2013,5/17/2013,6,7,13,10.9
2013,5/22/2013,7,5,12,11.7
2013,5/24/2013,7,9,16,12.2
2013,5/28/2013,1,6,7,12.1
2013,5/30/2013,8,5,13,13.3
2013,5/31/2013,13,5,18,13.9
2013,6/3/2013,6,11,17,14.7
2013,6/5/2013,10,36,46,14.4
2013,6/7/2013,23,48,71,14.1
2013,6/10/2013,16,38,54,14.7
2013,6/12/2013,21,19,40,14.9
2013,6/14/2013,3,6,9,15.3
2013,6/17/2013,0,2,2,15.7
2013,6/19/2013,0,3,3,16.1
2013,6/21/2013,0,0,0,16.7
2014,5/22/2014,17,7,24,11.1
2014,5/27/2014,16,10,26,12
2014,5/29/2014,7,10,17,12.4
2014,6/2/2014,10,32,42,13.4
2014,6/6/2014,12,24,36,13.6
2014,6/9/2014,44,114,158,14.7
2014,6/10/2014,178,174,352,15.1
2014,6/12/2014,70,55,125,14.8
2014,6/16/2014,2,1,3,14.8
2014,6/18/2014,4,5,9,16.3
2015,5/21/2015,3,12,15,11.9
2015,5/25/2015,2,15,17,12.2
2015,5/27/2015,3,10,13,17.1
2015,5/29/2015,0,18,18,13.1
2015,6/3/2021,5,6,11,13.3
2015,6/5/2015,30,19,49,14.4
2015,6/8/2015,54,63,117,14.5
2015,6/10/2015,19,46,65,14.4
2015,6/12/2015,2,6,8,14.4
2015,6/15/2015,0,7,7,14.7
2015,6/17/2015,0,9,9,15.3
2015,6/18/2015,0,1,1,15.7
2016,5/17/2016,4,5,9,
2016,5/23/2016,7,14,21,9.7
2016,5/25/2016,9,23,32,10.6
2016,5/27/2016,10,35,45,10.6
2016,5/31/2016,5,22,27,12.8
2016,6/1/2016,1,73,74,
2016,6/3/2016,28,209,237,
2016,6/7/2016,24,63,87,
2016,6/9/2016,13,43,56,14
2016,6/10/2016,6,33,39,
2016,6/13/2016,1,14,15,
2017,5/19/2017,,17,17,10.8
2017,5/22/2017,1,4,5,10.7
2017,5/24/2017,,1,1,11
2017,5/26/2017,1,4,5,11.3
2017,5/30/2017,3,7,10,12.2
2017,5/31/2017,1,11,12,12.5
2017,6/2/2017,0,5,5,12.4
2017,6/5/2017,4,5,9,13.1
2017,6/7/2017,5,2,7,13.1
2017,6/8/2017,0,0,0,13.4
2017,6/9/2017,,7,7,13.7
2017,6/12/2017,56,26,82,15.1
2017,6/14/2017,3,0,3,15.6
2017,6/16/2017,0,0,0,15.9
2018,5/24/2018,12,0,12,11.1
2018,5/25/2018,4,2,6,11.3
2018,5/29/2018,11,1,12,12.5
2018,5/30/2018,3,11,14,12.8
2018,6/1/2018,8,12,20,13.8
2018,6/4/2018,1,4,5,14.4
2018,6/6/2018,2,3,5,14.4
2018,6/8/2018,19,7,26,14.5
2018,6/11/2018,24,10,34,15.1
2018,6/13/2018,5,4,9,15.4
2018,6/15/2018,0,1,1,15.3
2018,6/18/2018,0,28,28,16.4
2018,6/19/2018,0,4,4,16.7
2018,6/21/2018,0,4,4,17.1
2019,5/23/2019,0,3,3,10.7
2019,5/28/2019,4,14,18,11.2
2019,5/30/2019,,8,8,11.7
2019,5/31/2019,,11,11,11.9
2019,6/3/2019,0,5,5,11.9
2019,6/5/2019,1,3,4,11.8
2019,6/7/2019,2,7,9,12.2
2019,6/10/2019,0,4,4,13
2019,6/12/2019,4,4,8,13.4
2019,6/14/2019,7,6,13,13.6
2019,6/17/2019,20,14,34,14.2
2019,6/18/2019,40,,40,14.5
2019,6/19/2019,49,2,51,14.7
2019,6/21/2019,41,19,60,14.7
2019,6/24/2019,0,3,3,15.5
2019,6/26/2019,1,3,4,15.6
2019,7/1/2019,0,,0,17.2
2019,7/3/2019,0,18,18,18.1
2019,7/5/2019,0,7,7,18.6
2020,5/26/2020,0,32,32,10.7
2020,5/28/2020,2,30,32,11.7
2020,6/1/2020,1,45,46,13
2020,6/3/2020,6,40,46,13.2
2020,6/5/2020,2,101,103,13.7
2020,6/8/2020,14,29,43,14.3
2020,6/9/2020,24,20,44,14.8
2020,6/10/2020,22,39,61,15.2
2020,6/12/2020,21,30,51,15.9
2020,6/15/2020,1,49,50,15.9
2020,6/17/2020,1,70,71,16.7
2020,6/18/2020,0,74,74,17
2020,6/22/2020,0,72,72,18.8
2020,6/24/2020,,31,31,19.5
2020,6/26/2020,0,0,0,19.4
2021,5/20/2021,1,11,12,
2021,5/24/2021,5,9,14,
2021,5/26/2021,5,12,17,
2021,5/28/2021,5,14,19,
2021,6/1/2021,5,10,15,
2021,6/3/2021,13,15,28,
2021,6/4/2021,13,26,39,
2021,6/6/2021,20,35,55,
2021,6/7/2021,17,37,54,
2021,6/8/2021,6,29,35,
2021,6/9/2021,5,5,10,
2021,6/11/2021,5,10,15,
